Date,Open,High,Low,Close,Volume,Market Cap
"Dec 29, 2016",975.13,979.40,954.50,973.50,"199,320,000","15,670,000,000"
"Dec 28, 2016",934.83,975.92,934.83,975.92,"236,630,000","15,020,500,000"
"Dec 27, 2016",908.35,940.05,904.25,933.20,"167,308,000","14,593,300,000"
"Dec 26, 2016",896.90,913.18,896.90,907.61,"123,771,000","14,407,800,000"
"Dec 25, 2016",899.65,899.65,862.42,896.18,"143,665,000","14,450,100,000"
"Dec 24, 2016",922.18,923.48,886.34,898.82,"137,727,000","14,810,300,000"
"Dec 23, 2016",864.89,925.12,864.68,921.98,"275,564,000","13,888,600,000"
"Dec 22, 2016",834.18,875.78,834.15,864.54,"200,027,000","13,393,800,000"
"Dec 21, 2016",800.64,834.28,799.40,834.28,"155,576,000","12,853,700,000"
"Dec 20, 2016",792.25,801.34,791.50,800.88,"99,629,300","12,717,600,000"
"Dec 19, 2016",790.69,793.61,790.32,792.71,"74,886,400","12,691,100,000"
"Dec 18, 2016",791.01,794.74,788.03,790.53,"60,524,400","12,694,800,000"
"Dec 17, 2016",785.17,792.51,784.86,790.83,"78,989,800","12,599,600,000"
"Dec 16, 2016",778.96,785.03,778.96,784.91,"83,608,200","12,498,800,000"
"Dec 15, 2016",780.07,781.43,777.80,778.09,"81,580,100","12,511,700,000"
"Dec 14, 2016",780.00,782.03,776.84,781.48,"75,979,000","12,512,900,000"
"Dec 13, 2016",780.65,788.46,777.96,780.56,"81,645,600","12,521,500,000"
"Dec 12, 2016",770.04,781.92,770.04,780.09,"76,571,000","12,349,800,000"
"Dec 11, 2016",774.75,774.80,765.41,769.73,"57,313,400","12,423,600,000"
"Dec 10, 2016",773.02,777.09,772.91,774.65,"53,843,100","12,394,500,000"
"Dec 09, 2016",769.94,774.53,769.65,772.79,"68,705,300","12,344,000,000"
"Dec 08, 2016",768.08,774.70,765.95,770.81,"80,111,900","12,312,500,000"
"Dec 07, 2016",764.21,771.54,759.75,768.13,"96,426,100","12,248,900,000"
"Dec 06, 2016",758.72,765.62,758.72,764.22,"116,218,000","12,159,400,000"
"Dec 05, 2016",773.39,773.47,751.71,758.70,"106,363,000","12,393,100,000"
"Dec 04, 2016",771.64,773.87,768.16,773.87,"60,557,900","12,363,600,000"
"Dec 03, 2016",778.25,778.25,764.86,771.15,"69,547,300","12,467,800,000"
"Dec 02, 2016",757.54,781.30,757.54,777.94,"127,605,000","12,134,800,000"
"Dec 01, 2016",746.05,758.27,746.05,756.77,"80,461,900","11,949,200,000"
"Nov 30, 2016",736.28,747.93,736.26,745.69,"84,070,800","11,791,600,000"
"Nov 29, 2016",736.33,737.47,734.56,735.60,"68,511,100","11,790,900,000"
"Nov 28, 2016",732.48,738.01,732.48,735.81,"61,888,600","11,727,800,000"
"Nov 27, 2016",735.44,739.02,731.09,732.03,"52,601,800","11,773,800,000"
"Nov 26, 2016",741.51,742.21,729.63,735.38,"54,962,700","11,869,600,000"
"Nov 25, 2016",740.44,741.65,734.59,741.65,"67,807,600","11,851,100,000"
"Nov 24, 2016",744.62,746.83,733.49,740.29,"85,919,300","11,916,500,000"
"Nov 23, 2016",751.74,752.25,738.92,744.59,"76,543,800","12,029,000,000"
"Nov 22, 2016",739.64,753.87,736.53,751.35,"129,906,000","11,834,200,000"
"Nov 21, 2016",731.26,741.72,730.51,739.25,"60,802,400","11,698,900,000"
"Nov 20, 2016",751.88,755.48,717.94,731.03,"154,116,000","12,027,500,000"
"Nov 19, 2016",751.83,756.24,744.47,751.62,"110,608,000","12,025,400,000"
"Nov 18, 2016",740.71,752.88,736.89,751.59,"87,363,100","11,846,000,000"
"Nov 17, 2016",744.88,755.64,739.51,740.98,"108,579,000","11,911,300,000"
"Nov 16, 2016",711.17,747.62,709.04,744.20,"141,294,000","11,370,700,000"
"Nov 15, 2016",705.79,715.72,705.26,711.62,"72,038,500","11,283,400,000"
"Nov 14, 2016",702.00,706.28,699.81,705.02,"62,993,000","11,214,600,000"
"Nov 13, 2016",705.20,705.26,687.32,702.03,"80,318,100","11,264,500,000"
"Nov 12, 2016",716.75,717.15,704.03,705.05,"64,622,500","11,447,700,000"
"Nov 11, 2016",715.55,718.32,714.41,716.41,"63,119,700","11,427,200,000"
"Nov 10, 2016",722.84,723.02,711.21,715.53,"68,807,800","11,542,100,000"
"Nov 09, 2016",709.83,740.05,708.61,723.27,"132,429,000","11,333,000,000"
"Nov 08, 2016",703.09,712.99,702.39,709.85,"79,660,800","11,224,000,000"
"Nov 07, 2016",710.74,710.74,699.90,703.13,"65,047,100","11,344,800,000"
"Nov 06, 2016",703.81,714.26,699.56,711.52,"59,902,200","11,233,000,000"
"Nov 05, 2016",703.52,707.51,697.74,703.42,"53,752,300","11,227,200,000"
"Nov 04, 2016",689.12,706.93,685.56,703.24,"99,907,700","10,996,400,000"
"Nov 03, 2016",742.35,745.77,678.16,688.70,"172,808,000","11,844,300,000"
"Nov 02, 2016",730.07,740.83,722.35,740.83,"84,865,200","11,647,200,000"
"Nov 01, 2016",701.34,736.45,701.34,729.79,"130,527,000","11,187,700,000"
"Oct 31, 2016",702.64,709.29,691.68,700.97,"97,064,400","11,207,200,000"
"Oct 30, 2016",714.12,714.12,696.48,701.86,"100,665,000","11,388,800,000"
